,coefficent,intercept
AL,-0.010335886,8078.057236
AK,-0.000591553,495.3494936
AZ,-0.010471442,8234.625488
AR,-0.004270348,3401.52618
CA,-0.068332237,54606.8165
CO,-0.020429391,16368.40235
CT,-0.040041936,30770.58214
DE,-0.006016068,4562.520204
DC,-0.005909905,4605.785839
FL,-0.053381887,42316.40458
GA,-0.037733081,29617.15825
HI,-0.00106578,893.5527559
ID,-0.003431439,2771.998876
IL,-0.068070206,52630.85301
IN,-0.024326281,18822.27212
IA,-0.007537852,5704.377956
KS,-0.004674452,3602.777251
KY,-0.006303082,4866.58989
LA,-0.048797994,38831.7453
ME,-0.001622988,1345.054375
MT,-0.000760225,649.3565509
NE,-0.003685252,2767.924528
NV,-0.007398506,5950.069061
NH,-0.00293297,2326.940064
NJ,-0.179846306,140576.7744
NM,-0.004227179,3252.900696
NY,-0.474981329,384585.6754
NC,-0.013604716,10648.82866
ND,-0.001211996,944.3673081
OH,-0.024343762,18830.07888
OK,-0.005392327,4242.581406
OR,-0.003739475,3073.684104
MD,-0.028767605,21884.04169
MA,-0.084302464,64727.13319
MI,-0.06511973,51543.473
MN,-0.005123916,4051.250407
MS,-0.009101529,7115.507185
MO,-0.011670056,9171.00943
PA,-0.068370805,52587.09339
RI,-0.010709551,8061.202554
SC,-0.008952548,7106.472984
SD,-0.003281595,2469.269028
TN,-0.014952394,11973.69101
TX,-0.040182854,31208.12054
UT,-0.006485183,5178.06519
VT,-0.001532218,1268.165034
VA,-0.019827848,15106.91979
WA,-0.021209556,18642.60339
WV,-0.00177299,1378.167782
WI,-0.009173947,7396.530574
WY,-0.000618522,513.1442944
