,Suffolk County,Queens County,New York County,Westchester County
3/12/20,20,17,39,148
3/13/20,28,26,35,158
3/14/20,41,55,71,178
3/15/20,47,78,72,196
3/16/20,63,118,111,220
3/17/20,84,248,277,380
3/18/20,116,533,590,538
3/19/20,178,1042,1038,798
3/20/20,371,1406,1314,1091
3/21/20,662,2254,1863,1385
3/22/20,1034,2715,2072,1873
3/23/20,1458,3621,2572,2894
3/24/20,1880,4364,2887,3891
3/25/20,2260,6420,3616,4691
3/26/20,2735,7362,4046,5944
3/27/20,3386,8214,4478,7187
3/28/20,4138,9831,5237,7875
3/29/20,5023,10737,5582,8519
3/30/20,5791,12756,6060,9329
3/31/20,6713,13869,6539,9967
4/1/20,7605,15217,7022,10683
4/2/20,8746,16819,7398,11567
4/3/20,10154,18823,8452,12351
4/4/20,11370,20114,9300,13081
4/5/20,12405,21436,9898,13723
4/6/20,13487,23133,10440,14294
4/7/20,14517,24840,11012,14804
4/8/20,15844,26248,11504,15887
4/9/20,17413,27752,12106,17004
4/10/20,18692,29303,12722,18077
4/11/20,19883,31291,13437,18729
4/12/20,20816,32835,14145,19313
4/13/20,21643,33985,14501,19786
4/14/20,22462,35053,14880,20191
4/15/20,23278,36765,16617,20947
4/16/20,24182,37918,17091,21828
4/17/20,25035,39091,17490,22476
4/18/20,26143,40216,17932,23179
4/19/20,26888,41237,18220,23803
4/20/20,27662,42023,18468,24306
4/21/20,28154,42822,18699,24656
4/22/20,28854,43713,19025,25276
4/23/20,29567,44904,19348,25959
4/24/20,30606,46387,19854,26633
4/25/20,31368,47861,20280,27231
4/26/20,32059,48745,20773,27664
4/27/20,32470,49399,21097,28007
4/28/20,32724,49929,21312,28245
4/29/20,33265,50741,21604,28626
4/30/20,33664,51631,21920,28970
