,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,MD,MA,MI,MN,MS,MO,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
3/12/20,0,1,10,5,352,49,5,4,10,58,56,2,0,32,12,16,5,10,19,1,0,11,11,6,29,5,325,16,1,5,3,24,12,109,12,12,1,2,22,5,13,8,17,23,5,2,9,457,0,6,1
3/13/20,5,1,10,8,406,77,8,4,10,64,56,2,0,46,12,17,6,13,36,4,4,13,20,6,56,10,421,17,1,13,4,30,17,125,25,18,6,4,41,14,13,9,18,38,6,2,37,568,0,19,2
3/14/20,11,1,12,12,504,101,20,6,16,96,66,3,4,63,19,18,6,15,85,4,6,18,21,7,72,13,527,32,1,25,4,36,31,139,33,21,10,5,47,20,19,9,32,51,19,4,37,642,0,27,3
3/15/20,22,1,12,16,621,131,26,7,17,136,98,6,4,92,19,18,8,21,103,4,6,18,26,13,98,13,729,33,1,37,8,39,31,163,55,35,10,6,76,20,28,9,39,59,21,4,40,769,0,33,3
3/16/20,29,3,18,22,740,160,41,8,22,167,121,9,4,104,30,23,13,22,136,16,8,18,45,17,176,21,950,40,1,50,10,47,37,197,54,54,12,8,75,21,33,10,76,60,30,8,45,906,0,47,10
3/17/20,39,6,20,28,923,183,68,17,31,216,145,12,7,159,30,29,16,26,196,31,9,24,55,26,267,23,1544,40,5,67,17,65,57,218,65,60,21,8,95,23,47,11,73,76,51,12,67,1006,1,72,15
3/18/20,51,6,27,37,1107,183,96,26,39,328,197,15,11,287,35,38,21,34,280,42,12,30,55,39,417,28,3052,63,7,86,29,74,85,256,80,77,34,22,132,33,60,11,98,107,65,18,77,1187,2,106,18
3/19/20,78,10,44,62,1318,277,159,30,71,432,283,25,23,421,55,44,34,47,391,51,15,31,91,44,742,35,5637,137,19,119,43,88,107,328,334,89,50,26,184,44,80,14,154,230,78,21,94,1376,4,155,18
3/20/20,106,16,63,100,1597,362,194,39,77,652,483,35,31,584,124,44,44,54,535,56,19,36,153,55,890,43,7848,137,26,169,49,114,190,416,549,115,80,72,268,44,124,14,227,304,112,33,114,1524,8,206,22
3/21/20,131,20,103,118,1804,475,223,45,98,762,555,45,42,752,124,68,54,53,762,70,27,45,158,65,1327,57,12208,184,28,247,53,137,190,524,787,137,140,90,371,66,171,14,368,338,136,49,152,1790,12,281,24
3/22/20,167,23,152,165,2105,591,327,56,116,1005,619,53,47,1049,200,90,63,66,837,89,34,49,194,78,1914,65,15832,255,30,351,67,161,244,645,1035,169,208,106,478,83,193,21,499,365,180,53,219,1996,16,381,26
3/23/20,196,37,234,192,2587,720,415,87,137,1227,799,65,50,1285,258,105,79,121,1170,107,45,52,249,102,2851,82,20911,290,32,431,81,190,288,776,1328,235,249,183,644,106,297,27,615,702,257,76,254,2221,20,410,29
3/24/20,242,42,326,222,2990,911,618,104,183,1412,1093,84,73,1536,360,122,92,153,1384,118,51,55,281,108,3675,95,25578,392,36,563,106,209,349,1157,1790,261,314,255,851,106,340,30,667,894,298,95,290,2455,38,455,37
3/25/20,386,59,401,296,3518,1086,875,119,231,1975,1374,101,122,1864,477,145,125,192,1795,142,65,62,408,137,4402,112,32968,495,45,703,164,265,423,1835,2294,286,376,352,1195,132,424,41,780,1211,345,123,391,2581,49,584,49
3/26/20,531,69,508,328,4368,1429,1012,119,267,2439,1633,106,189,2540,962,179,170,242,2303,156,89,76,536,157,6331,136,38976,622,58,867,243,315,580,2414,2855,344,484,502,1687,165,453,46,956,1576,410,158,460,3206,49,707,55
3/27/20,639,85,663,375,5226,1732,1291,165,304,3198,2197,118,234,3027,962,235,205,296,2744,168,120,83,520,187,8825,194,44813,763,68,1137,243,414,773,3240,3656,396,484,663,2218,203,539,58,1201,1915,482,184,604,3759,96,842,73
3/28/20,717,102,773,403,6058,2061,1524,214,342,4038,2445,151,265,3491,1232,298,263,357,3313,211,147,108,637,214,10836,208,53303,929,93,1405,377,479,995,4257,4650,441,484,829,2750,239,660,68,1370,2225,603,211,739,4289,113,989,84
3/29/20,825,114,919,445,6707,2306,1993,232,401,4948,2682,173,314,4596,1514,336,320,389,3537,253,161,129,926,268,13386,234,59240,1163,97,1651,429,548,1242,4851,5465,503,756,888,3393,267,774,90,1579,2663,712,234,890,4896,123,1112,85
3/30/20,941,119,1154,504,7643,2624,2571,264,495,5704,3024,202,415,5057,1783,424,369,430,4023,275,177,153,1009,313,16636,281,67194,1302,109,1933,480,605,1412,5752,6495,576,845,1032,4082,406,925,100,1833,3085,804,256,1020,5414,145,1221,95
3/31/20,997,133,1289,560,8815,2965,3128,319,586,6741,4110,224,525,5993,2159,496,428,529,5235,275,198,177,1113,367,18696,315,74447,1491,126,2197,566,689,1660,6620,7613,629,935,1336,4839,485,1083,100,2238,3604,887,292,1250,5662,162,1351,120
4/1/20,1106,142,1414,621,10172,3341,3557,368,586,7559,4744,258,668,6972,2564,548,482,623,6424,344,217,214,1279,367,22255,362,82133,1580,147,2546,720,735,1985,7738,9331,687,1064,1591,5805,563,1293,129,2681,4268,1013,320,1484,6264,189,1549,137
4/2/20,1270,147,1596,678,11397,3724,3824,393,653,9008,5440,285,889,7678,3038,614,550,714,9094,376,241,254,1458,479,25590,403,90390,1855,159,2902,877,825,2331,8966,10789,742,1178,1833,7016,651,1553,165,2844,4954,1076,338,1706,6818,217,1730,153
4/3/20,1534,157,1769,732,12755,4173,4915,450,757,10268,5960,319,1011,8871,3436,699,620,775,10169,432,262,284,1551,540,29895,494,103652,2093,173,3312,987,898,2758,10402,12739,788,1460,2111,8420,705,1699,187,3066,5704,1244,389,2012,7119,237,1916,166
4/4/20,1632,171,2018,740,14055,4565,5276,593,902,11544,6374,351,1076,10357,3948,785,698,871,12493,456,281,318,1752,620,34997,545,113892,2402,186,3738,1157,999,3125,11736,14222,863,1566,2285,10016,806,1913,212,3319,6363,1422,461,2407,7655,281,2112,187
4/5/20,1840,185,2269,853,15356,4950,5675,673,998,12350,6731,371,1100,11254,4409,868,747,970,13010,470,296,354,1836,669,37505,626,122178,2585,207,4041,1251,1067,3609,12500,15713,928,1748,2369,11496,922,2048,240,3631,7007,1605,512,2637,8017,320,2266,199
4/6/20,2003,191,2456,927,16545,5172,6906,783,1097,13629,7554,387,1169,12259,4942,945,845,1081,14866,499,318,402,1953,715,41091,688,130830,2870,225,4442,1325,1132,4045,13837,17218,980,1848,2723,12973,1082,2230,285,3800,7583,1675,543,2878,8383,345,2438,212
4/7/20,2197,213,2575,997,17706,5429,7781,928,1211,14747,9156,410,1210,13553,5507,1048,900,1140,16284,519,318,478,2098,747,44416,796,138988,3221,237,4782,1469,1181,4371,15200,18969,1069,1915,3037,14559,1229,2417,320,4136,8653,1739,575,3333,8681,412,2578,221
4/8/20,2499,226,2726,1077,19191,5655,8781,1116,1440,15698,10204,435,1232,15078,5943,1145,1044,1338,17030,537,331,523,2318,788,47437,865,149476,3426,251,5148,1522,1239,5529,16790,20345,1155,2003,3327,16239,1439,2552,393,4361,9717,1848,605,3645,9096,479,2756,230
4/9/20,2838,236,3018,1146,20337,6098,9784,1209,1523,16826,10885,442,1353,16422,6351,1270,1105,1509,18280,560,331,577,2456,819,51393,989,159937,3654,269,5512,1681,1321,6185,18941,21503,1245,2258,3539,18228,1712,2792,447,4632,10563,1979,628,4042,9606,520,2885,239
4/10/20,3007,247,3111,1201,21566,6322,10538,1326,1660,17968,11856,465,1396,17884,6905,1388,1163,1692,19249,585,331,647,2624,885,54588,1090,170512,3909,278,5878,1790,1371,6968,20973,22781,1245,2465,3789,19978,2015,3064,534,4859,12033,2103,679,4509,9884,573,3068,252
4/11/20,3262,258,3393,1227,22562,6638,11510,1479,1778,18986,12261,486,1407,19179,7431,1510,1263,1841,20011,615,331,704,2624,928,58151,1174,180533,4311,293,6250,1868,1447,7694,22859,23993,1427,2642,4024,21655,2348,3064,626,5111,12958,2206,711,5076,10223,591,3213,261
4/12/20,3582,273,3539,1276,23433,6898,12035,1638,1875,19895,12550,499,1425,20851,7920,1587,1334,1952,20592,632,331,758,2624,985,61850,1245,188694,4524,308,6604,1970,1527,8225,25474,24638,1618,2781,4159,22833,2665,3318,730,5302,13735,2304,727,5273,10411,607,3341,270
