,date,number of tweets with Covid
0,2020-03-12,497262.0
1,2020-03-13,994543.0
2,2020-03-14,465439.0
3,2020-03-15,464364.0
4,2020-03-16,612442.0
5,2020-03-17,834944.0
6,2020-03-18,626206.0
7,2020-03-19,855845.0
8,2020-03-20,758621.0
9,2020-03-21,881955.0
10,2020-03-22,700932.0
11,2020-03-23,658225.0
12,2020-03-24,620860.0
13,2020-03-25,684556.0
14,2020-03-26,881278.0
15,2020-03-27,664120.0
16,2020-03-28,582055.0
17,2020-03-29,564141.0
18,2020-03-30,586262.0
19,2020-03-31,669828.0
20,2020-04-01,591480.0
21,2020-04-02,578393.0
22,2020-04-03,536157.0
23,2020-04-04,457874.0
24,2020-04-05,449871.0
25,2020-04-06,587133.0
26,2020-04-07,442952.0
27,2020-04-08,522715.0
28,2020-04-09,473226.0
29,2020-04-10,427597.0
30,2020-04-11,326020.0
31,2020-04-12,256263.0
32,2020-04-13,247697.0
33,2020-04-14,449492.0
34,2020-04-15,475259.0
35,2020-04-16,544735.0
36,2020-04-17,509643.0
37,2020-04-18,376464.0
38,2020-04-19,338276.0
39,2020-04-20,412667.0
40,2020-04-21,419211.0
41,2020-04-22,414008.0
42,2020-04-23,389417.0
43,2020-04-24,431125.0
44,2020-04-25,321694.0
45,2020-04-26,308827.0
46,2020-04-27,395475.0
47,2020-04-28,356335.0
48,2020-04-29,391389.0
49,2020-04-30,355387.0
