"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72505394728","2020-03-12T00:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","23","46","0.00",,"+0.01","7","40","30.08","CLR:00","29.93","10.00","37","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11103/12/20 00:51:02 METAR KNYC 120551Z 00000KT 10SM CLR 08/M05 A3010 RMK AO2 SLP186 T00781050 10111 20078 57005 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T01:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","24","46","0.00",,,,"42","30.07","CLR:00","29.93","10.00","37","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09303/12/20 01:51:02 METAR KNYC 120651Z 00000KT 10SM CLR 08/M04 A3010 RMK AO2 SLP184 T00781044 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T02:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","26","45","0.00",,,,"48","30.07","CLR:00","29.93","10.00","37","280",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09303/12/20 02:51:02 METAR KNYC 120751Z 28003KT 10SM CLR 07/M03 A3010 RMK AO2 SLP184 T00721033 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T03:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.12","26","45","0.00",,"-0.01","3","48","30.09","CLR:00","29.95","10.00","37","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09903/12/20 03:51:02 METAR KNYC 120851Z 00000KT 10SM CLR 07/M03 A3012 RMK AO2 SLP190 T00721033 53004 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T04:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.13","27","45","0.00",,,,"49","30.10","OVC:08 60","29.96","10.00","38","030",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10003/12/20 04:51:02 METAR KNYC 120951Z 03003KT 10SM OVC060 07/M03 A3013 RMK AO2 SLP194 T00721028 $ RTX","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T05:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.14","27","44","0.00",,,,"51","30.11","BKN:07 60 OVC:08 100","29.97","10.00","37","060",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10703/12/20 05:51:02 METAR KNYC 121051Z 06005KT 10SM BKN060 OVC100 07/M03 A3014 RMK AO2 SLP197 T00671028 $ RTX","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T06:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.15","31","44","0.00",,"-0.04","3","60","30.13","BKN:07 100 OVC:08 120","29.98","10.00","39","040",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12103/12/20 06:51:02 METAR KNYC 121151Z 04005KT 10SM BKN100 OVC120 07/M01 A3015 RMK AO2 SLP203 T00671006 10083 20061 53013 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T07:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.17","34","46","0.00",,,,"63","30.15","OVC:08 80","30.00","10.00","41","VRB",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09503/12/20 07:51:02 METAR KNYC 121251Z VRB05KT 10SM OVC080 08/01 A3017 RMK AO2 SLP209 T00780011 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T08:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.20","35","44","0.00",,,,"71","30.17","OVC:08 55","30.03","10.00","40","090",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09503/12/20 08:51:02 METAR KNYC 121351Z 09006KT 10SM OVC055 07/02 A3020 RMK AO2 SLP218 T00670017 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T09:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.20","37","45","0.00",,"-0.05","1","74","30.18","OVC:08 50","30.03","10.00","41","060",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10103/12/20 09:51:02 METAR KNYC 121451Z 06005KT 10SM OVC050 07/03 A3020 RMK AO2 SLP220 T00720028 51017 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T10:36:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.20","38","46",,,,,"73",,"BKN:07 19 OVC:08 50","30.03","10.00","42","070",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09903/12/20 10:36:02 SPECI KNYC 121536Z 07005KT 10SM BKN019 OVC050 08/03 A3020 RMK AO2 T00780033 $ RTX","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T10:47:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.21","37","46",,,,,"71",,"SCT:04 19 OVC:08 50","30.04","10.00","42","VRB",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET08503/12/20 10:47:02 SPECI KNYC 121547Z VRB05KT 10SM SCT019 OVC050 08/03 A3021 RMK AO2 $","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T10:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.21","38","46","0.00",,,,"73","30.19","FEW:02 19 OVC:08 50","30.04","10.00","42","050",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10203/12/20 10:51:02 METAR KNYC 121551Z 05005KT 10SM FEW019 OVC050 08/03 A3021 RMK AO2 SLP222 T00780033 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T11:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.21","38","48","0.00",,,,"68","30.18","OVC:08 50","30.04","10.00","43","090",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09503/12/20 11:51:02 METAR KNYC 121651Z 09006KT 10SM OVC050 09/03 A3021 RMK AO2 SLP221 T00890033 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T12:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.20","37","49","0.00",,"+0.01","8","64","30.17","OVC:08 49","30.03","10.00","44","VRB",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11303/12/20 12:51:02 METAR KNYC 121751Z VRB03KT 10SM OVC049 09/03 A3020 RMK AO2 SLP218 T00940028 10094 20067 58003 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T13:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.17","37","49","0.00",,,,"64","30.15","OVC:08 47","30.00","10.00","44","VRB",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10403/12/20 13:51:02 METAR KNYC 121851Z 07007KT 10SM OVC047 09/03 A3017 RMK AO2 SLP209 T00940028 $ RTX FIBI","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T14:47:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.18","37","48",,,,,"66",,"BKN:07 22 OVC:08 44","30.01","10.00","43","VRB",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET08503/12/20 14:47:02 SPECI KNYC 121947Z VRB05KT 10SM BKN022 OVC044 09/03 A3018 RMK AO2 $","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T14:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.18","38","49","0.00",,,,"66","30.15","BKN:07 22 OVC:08 44","30.01","10.00","44","050",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10603/12/20 14:51:02 METAR KNYC 121951Z 05007KT 10SM BKN022 OVC044 09/03 A3018 RMK AO2 SLP210 T00940033 $ RTX","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T15:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.18","39","48","0.00",,"-0.00","1","71","30.15","OVC:08 18","30.01","10.00","44","070",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10103/12/20 15:51:02 METAR KNYC 122051Z 07007KT 10SM OVC018 09/04 A3018 RMK AO2 SLP211 T00890039 51001 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72505394728","2020-03-12T16:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.15","40","48","0.00",,,,"74","30.13","OVC:08 17","29.98","10.00","44","VRB",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09503/12/20 16:51:02 METAR KNYC 122151Z 06007KT 10SM OVC017 09/04 A3015 RMK AO2 SLP203 T00890044 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
