"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72503014732","2020-03-12T00:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.08","30","44","0.00",,"+0.01","5","58","30.08","SCT:04 250","30.05","10.00","38","060",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11403/12/20 00:51:01 METAR KLGA 120551Z 06003KT 10SM SCT250 07/M01 A3008 RMK AO2 SLP186 T00671011 10122 20067 55005 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72503014732","2020-03-12T01:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30","44",,,"+0.01","5","58","30.08",,"30.04","9.94","38","060",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072503 32966 40603 10067 21011 30172 40186 55005 90551 333 10122 20067 555 91206=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72503014732","2020-03-12T01:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.08","32","43","0.00",,,,"65","30.07","SCT:04 250","30.05","10.00","38","050",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09503/12/20 01:51:01 METAR KLGA 120651Z 05003KT 10SM SCT250 06/00 A3008 RMK AO2 SLP184 T00610000 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72503014732","2020-03-12T02:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.08","33","42","0.00",,,,"71","30.07","FEW:02 250","30.05","10.00","38","040",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09503/12/20 02:51:01 METAR KLGA 120751Z 04004KT 10SM FEW250 06/01 A3008 RMK AO2 SLP184 T00560006 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72503014732","2020-03-12T03:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.09","33","42","0.00",,"-0.01","3","71","30.09","FEW:02 100 FEW:02 250","30.06","10.00","38","050",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10803/12/20 03:51:01 METAR KLGA 120851Z 05005KT 10SM FEW100 FEW250 06/01 A3009 RMK AO2 SLP189 T00560006 53003 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72503014732","2020-03-12T04:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33","42",,,"-0.01","3","71","30.09",,"30.05","9.94","38","050",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN06472503 32966 20505 10056 20006 30176 40189 53003 90851 555 91209=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72503014732","2020-03-12T04:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.11","32","42","0.00",,,,"68","30.11","BKN:07 60","30.08","10.00","38","060",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09503/12/20 04:51:01 METAR KLGA 120951Z 06007KT 10SM BKN060 06/00 A3011 RMK AO2 SLP196 T00560000 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72503014732","2020-03-12T05:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.12","34","42","0.00",,,,"73","30.12","BKN:07 60","30.09","10.00","39","050",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09503/12/20 05:51:01 METAR KLGA 121051Z 05007KT 10SM BKN060 06/01 A3012 RMK AO2 SLP199 T00560011 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72503014732","2020-03-12T06:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.14","33","43","0.00",,"-0.05","1","68","30.14","FEW:02 60 BKN:07 100","30.11","10.00","39","050",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12003/12/20 06:51:02 METAR KLGA 121151Z 05008KT 10SM FEW060 BKN100 06/01 A3014 RMK AO2 SLP205 T00610006 10067 20050 51016 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72503014732","2020-03-12T07:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33","43",,,"-0.05","1","68","30.14","57","30.10","9.94","39","050",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072503 32766 60508 10061 20006 30193 40205 51016 91151 333 10133 20050 555 91212=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
