"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72503794745","2020-03-12T00:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.07","21","34","0.00",,"+0.01","5","59","30.09","CLR:00","29.64","10.00","29","300",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11403/12/20 00:56:02 METAR KHPN 120556Z 30004KT 10SM CLR 01/M06 A3007 RMK AO2 SLP188 T00111061 10089 20011 55005 (MM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T01:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.06","22","35","0.00",,,,"59","30.08","CLR:00","29.63","10.00","30","300",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09603/12/20 01:56:02 METAR KHPN 120656Z 30003KT 10SM CLR 02/M06 A3006 RMK AO2 SLP185 T00171056 (MM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T02:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.07","22","33","0.00",,,,"64","30.08","CLR:00","29.64","10.00","29","310",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09603/12/20 02:56:02 METAR KHPN 120756Z 31004KT 10SM CLR 01/M06 A3007 RMK AO2 SLP186 T00061056 (MM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T03:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.09","21","35","0.00",,"-0.02","3","57","30.10","CLR:00","29.66","10.00","30","310",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10203/12/20 03:56:02 METAR KHPN 120856Z 31005KT 10SM CLR 02/M06 A3009 RMK AO2 SLP193 T00171061 53006 (MM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T04:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","20","39","0.00",,,,"46","30.11","BKN:07 55","29.67","10.00","32","080",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09903/12/20 04:56:02 METAR KHPN 120956Z 08004KT 10SM BKN055 04/M07 A3010 RMK AO2 SLP198 T00391067 (MM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T05:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","22","38","0.00",,,,"52","30.12","BKN:07 55","29.67","10.00","32","090",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09903/12/20 05:56:02 METAR KHPN 121056Z 09006KT 10SM BKN055 03/M06 A3010 RMK AO2 SLP199 T00331056 (MM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T06:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.12","26","38","0.00",,"-0.04","3","62","30.14","BKN:07 60","29.69","10.00","33","080",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11703/12/20 06:56:02 METAR KHPN 121156Z 08004KT 10SM BKN060 03/M03 A3012 RMK AO2 SLP206 T00331033 10039 20000 53013 (ML)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T07:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.15","31","40","0.00",,,,"70","30.16","FEW:02 15 BKN:07 60 BKN:07 90","29.72","10.00","36","070",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11303/12/20 07:56:02 METAR KHPN 121256Z 07007KT 10SM FEW015 BKN060 BKN090 04/M01 A3015 RMK AO2 SLP213 T00441006 (ML)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T08:11:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.15","33","41",,,,,"73",,"SCT:04 7 BKN:07 60 BKN:07 90","29.72","10.00","38","080",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10503/12/20 08:11:02 SPECI KHPN 121311Z 08005KT 10SM SCT007 BKN060 BKN090 05/01 A3015 RMK AO2 T00500006 (ML)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T08:46:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.16","35","41",,,,,"79",,"BKN:07 7 BKN:07 15","29.73","10.00","38","100",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09803/12/20 08:46:02 SPECI KHPN 121346Z 10009KT 10SM BKN007 BKN015 05/02 A3016 RMK AO2 T00500017 (ML)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T08:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.16","36","41","0.00",,,,"82","30.18","BKN:07 7 OVC:08 15","29.73","8.00","39","100",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10403/12/20 08:56:02 METAR KHPN 121356Z 10006KT 8SM BKN007 OVC015 05/02 A3016 RMK AO2 SLP220 T00500022 (ML)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T09:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.18","37","42","0.00",,"-0.05","1","82","30.19","BKN:07 9 OVC:08 50","29.75","10.00","40","120",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12303/12/20 09:56:02 METAR KHPN 121456Z 12009KT 10SM BKN009 OVC050 06/03 A3018 RMK AO2 CIG 008V012 SLP225 T00560028 51018 (ML)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T10:54:00","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.18","37","43",,,,,"81",,"BKN:07 12 OVC:08 50","29.75","10.00","40","120",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09303/12/20 10:54:02 SPECI KHPN 121554Z 12004KT 10SM BKN012 OVC050 06/03 A3018 RMK AO2 FIBI (ML)","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T10:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.18","37","43","0.00",,,,"80","30.19","BKN:07 12 OVC:08 50","29.75","10.00","40","120",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10503/12/20 10:56:02 METAR KHPN 121556Z 12006KT 10SM BKN012 OVC050 06/03 A3018 RMK AO2 SLP225 T00610028 (ML)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T11:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.18","37","45","0.00",,,,"74","30.19","BKN:07 12 OVC:08 50","29.75","10.00","41","140",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10503/12/20 11:56:02 METAR KHPN 121656Z 14008KT 10SM BKN012 OVC050 07/03 A3018 RMK AO2 SLP224 T00720028 (ML)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T12:54:00","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.17","37","45",,,,,"76",,"SCT:04 15 OVC:08 47","29.74","10.00","41","120",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09303/12/20 12:54:02 SPECI KHPN 121754Z 12008KT 10SM SCT015 OVC047 07/03 A3017 RMK AO2 FIBI (ML)","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T12:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.17","37","44","0.00",,"+0.01","8","76","30.19","SCT:04 15 OVC:08 47","29.74","10.00","41","130",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12303/12/20 12:56:02 METAR KHPN 121756Z 13008KT 10SM SCT015 OVC047 07/03 A3017 RMK AO2 SLP222 T00670028 10078 20033 58004 (ML)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T13:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.15","36","45","0.00",,,,"71","30.16","FEW:02 15 OVC:08 47","29.72","10.00","41","110",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10503/12/20 13:56:02 METAR KHPN 121856Z 11007KT 10SM FEW015 OVC047 07/02 A3015 RMK AO2 SLP214 T00720022 (ML)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T14:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.14","36","46","0.00",,,,"68","30.16","BKN:07 46","29.71","10.00","42","100",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09803/12/20 14:56:02 METAR KHPN 121956Z 10008KT 10SM BKN046 08/02 A3014 RMK AO2 SLP213 T00780022 (ML)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T15:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.15","35","45","0.00",,"+0.02","5","68","30.16","BKN:07 44","29.72","10.00","41","110",,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10403/12/20 15:56:02 METAR KHPN 122056Z 11010KT 10SM BKN044 07/02 A3015 RMK AO2 SLP215 T00720017 55006 (JR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T16:54:00","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.14","36","45",,,,,"71",,"BKN:07 20","29.71","10.00","41","080",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET08603/12/20 16:54:02 SPECI KHPN 122154Z 08007KT 10SM BKN020 07/02 A3014 RMK AO2 FIBI (JR)","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T16:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.13","35","44","0.00",,,,"71","30.15","OVC:08 20","29.70","10.00","40","090",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09803/12/20 16:56:02 METAR KHPN 122156Z 09007KT 10SM OVC020 07/02 A3013 RMK AO2 SLP210 T00670017 (JR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T17:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.14","37","43","0.00",,,,"80","30.15","OVC:08 16","29.71","10.00","40","080",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09803/12/20 17:56:02 METAR KHPN 122256Z 08006KT 10SM OVC016 06/03 A3014 RMK AO2 SLP210 T00610028 (JR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T18:54:00","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.14","37","43",,,,,"81",,"BKN:07 13","29.71","10.00","40","080",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET08603/12/20 18:54:02 SPECI KHPN 122354Z 08006KT 10SM BKN013 06/03 A3014 RMK AO2 FIBI (JR)","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T18:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.14","37","43","0.00",,"+0.01","6","80","30.15","BKN:07 13","29.71","10.00","40","080",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11603/12/20 18:56:02 METAR KHPN 122356Z 08005KT 10SM BKN013 06/03 A3014 RMK AO2 SLP210 T00610028 10078 20061 56005 (JR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
"72503794745","2020-03-12T19:56:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.14","38","42","T","-RA:02 |RA |RA",,,"85","30.16","OVC:08 10","29.71","9.00","40","080",,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12603/12/20 19:56:01 METAR KHPN 130056Z 08011KT 9SM -RA OVC010 06/03 A3014 RMK AO2 RAB16E25B52 CIG 009V012 SLP213 P0000 T00560033","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-22"
